,City,PriceRange,0
0,Amsterdam,Avarage,Hard Rock Cafe Amsterdam
1,Amsterdam,Cheap,Wok to Walk
2,Amsterdam,Expensive,De Kas
3,Athens,Avarage,Ta Karamanlidika tou Fani
4,Athens,Cheap,O Thanasis
5,Athens,Expensive,GB Roof Garden
6,Barcelona,Avarage,Cerveceria Catalana
7,Barcelona,Cheap,Can Paixano (La Xampanyeria)
8,Barcelona,Expensive,7 Portes
9,Berlin,Avarage,Hofbrau Munchen Berlin
10,Berlin,Cheap,Burgermeister
11,Berlin,Expensive,Bocca di Bacco
12,Bratislava,Avarage,Bratislavsky Mestiansky pivovar
13,Bratislava,Cheap,Slovak Pub
14,Bratislava,Expensive,UFO
15,Brussels,Avarage,Chez Leon
16,Brussels,Cheap,Fritland
17,Brussels,Expensive,Belga Queen
18,Budapest,Avarage,Hungarikum Bisztro
19,Budapest,Cheap,Lucky 7 Burgers & More
20,Budapest,Expensive,Borkonyha WineKitchen
21,Copenhagen,Avarage,Tight
22,Copenhagen,Cheap,Copenhagen Street Food
23,Copenhagen,Expensive,Host
24,Dublin,Avarage,The Boxty House
25,Dublin,Cheap,Leo Burdock's
26,Dublin,Expensive,Chapter One
27,Edinburgh,Avarage,The Dome
28,Edinburgh,Cheap,Oink
29,Edinburgh,Expensive,The Witchery by the Castle
30,Geneva,Avarage,Brasserie Lipp
31,Geneva,Cheap,Chez Ma Cousine
32,Geneva,Expensive,Chez Philippe
33,Hamburg,Avarage,Hard Rock Cafe
34,Hamburg,Cheap,Bruecke 10
35,Hamburg,Expensive,EAST Restaurant
36,Helsinki,Avarage,Kappeli
37,Helsinki,Cheap,Cafe Bar No 9
38,Helsinki,Expensive,Juuri
39,Krakow,Avarage,Pod Wawelem
40,Krakow,Cheap,Moaburger
41,Krakow,Expensive,Pimiento Argentino Grill - Old Town
42,Lisbon,Avarage,Cervejaria Ramiro
43,Lisbon,Cheap,Marisqueria Uma
44,Lisbon,Expensive,Solar dos Presuntos
45,Ljubljana,Avarage,Julija
46,Ljubljana,Cheap,Druga Violina
47,Ljubljana,Expensive,Spajza
48,London,Avarage,Hard Rock Cafe London
49,London,Cheap,Shaka Zulu
50,London,Expensive,Aqua Shard
51,Luxembourg,Avarage,Chi-Chi's
52,Luxembourg,Cheap,A La Soupe
53,Luxembourg,Expensive,Brasserie La Lorraine
54,Lyon,Avarage,Brasserie Georges
55,Lyon,Cheap,L'Epicerie
56,Lyon,Expensive,Christian Tetedoie
57,Madrid,Avarage,Mercado de San Miguel
58,Madrid,Cheap,Museo del Jamon
59,Madrid,Expensive,Ten Con Ten
60,Milan,Avarage,Eataly Milano Smeraldo
61,Milan,Cheap,Luini
62,Milan,Expensive,El Porteno
63,Munich,Avarage,Hofbraeuhaus
64,Munich,Cheap,Andy's Krablergarten
65,Munich,Expensive,Broeding
66,Oporto,Avarage,Tapabento - Bar Restaurant
67,Oporto,Cheap,Cafe Santiago
68,Oporto,Expensive,O Paparico
69,Oslo,Avarage,Ruffino Ristorante Italiano
70,Oslo,Cheap,Mamma Pizza
71,Oslo,Expensive,Dinner Bar & Restaurant
72,Paris,Avarage,La Coupole
73,Paris,Cheap,Le Bouillon Chartier
74,Paris,Expensive,58 Tour Eiffel
75,Prague,Avarage,Restaurace U Fleku
76,Prague,Cheap,Lokal Dlouhaaa
77,Prague,Expensive,Bellevue
78,Rome,Avarage,Grazia & Graziella
79,Rome,Cheap,Ristorante Carlo Menta
80,Rome,Expensive,Ad Hoc
81,Stockholm,Avarage,Stockholms Gastabud
82,Stockholm,Cheap,Kajsas Fisk
83,Stockholm,Expensive,Fem Sma Hus
84,Vienna,Avarage,Figlmuller
85,Vienna,Cheap,Schnitzelwirt
86,Vienna,Expensive,Steirereck
87,Warsaw,Avarage,Podwale Kompania Piwna
88,Warsaw,Cheap,Zapiecek
89,Warsaw,Expensive,Polska Rozana
90,Zurich,Avarage,Zeughauskeller
91,Zurich,Cheap,Sternen Grill
92,Zurich,Expensive,Clouds
